"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9191","verify 90 days of data for Nutrition","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","8112","02 - Verify Water Intake CSV title","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","9185","NavigateOnWorkqueue","chromium","2026-08-27","passed","2026-08-27","","loginpage.spec.ts","",""
"","8006","06 - Verify Date values in Water Intake CSV","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","8089","verify 30 days of data for Blood Pressure","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","8188","03 - Verify Water Intake CSV contains records","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","7471","05 - Verify Patient values in Water Intake CSV","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","8247","07 - Verify Water ml values in Water Intake CSV","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","6057","Verify tab visibility for Physician staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","5607","Verify tab visibility for Marketing staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","9349","verify Tabs availability on Protocol Page","chromium","2026-08-27","passed","2026-08-27","","careProgramtwo.spec.ts","",""
"","8198","verify 90 days of data for Blood Pressure","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","2410","@sanity @regression invalid user login JsonData - 123@gmail.com- test@123","chromium","2026-08-27","passed","2026-08-27","","invalidLogin.spec.ts","",""
"","8131","01 - Download Water Intake CSV and verify header","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","5914","Verify tab visibility for Carecoordinator staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","8648","08 - Verify CSV contains Water Intake","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","5495","Verify tab visibility for Custom staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","7530","04 - Verify Water Intake CSV column count","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","7172","verify create Program is visible","chromium","2026-08-27","passed","2026-08-27","","orgadmin.spec.ts","",""
"","1285","@sanity @regression invalid user login JsonData - roleuserid+orgadmin@gmail.com- hs@123","chromium","2026-08-27","passed","2026-08-27","","invalidLogin.spec.ts","",""
"","7180","11 - Verify CSV contains Water ml","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","1527","@sanity @regression invalid user login JsonData - - onlyPass@123","chromium","2026-08-27","passed","2026-08-27","","invalidLogin.spec.ts","",""
"","11700","verify Weight csv for 30 days","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","8842","verify 90 days of data for Water Intake","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","44170","verify 90 days health passport report PDF data","chromium","2026-08-27","failed","2026-08-27","","healthpassport.spec.ts","",""
"","11334","verify create Program","chromium","2026-08-27","passed","2026-08-27","","careProgramtwo.spec.ts","",""
"","9018","verify Weight csv for 90 days","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","7472","verify import Program is not visible","chromium","2026-08-27","passed","2026-08-27","","orgadmin.spec.ts","",""
"","6852","10 - Verify CSV contains Date","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","44435","verify 30 days health passport report PDF data","chromium","2026-08-27","failed","2026-08-27","","healthpassport.spec.ts","",""
"","5500","Verify tab visibility for Dietician staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
