"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1155","@sanity @regression invalid user login JsonData - test@gm.com-","chromium","2026-08-27","passed","2026-08-27","","invalidLogin.spec.ts","",""
"","5207","verifyLogin","chromium","2026-08-27","passed","2026-08-27","","loginpage.spec.ts","",""
"","5505","Verify tab visibility for Nurse staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","7505","02 - Verify Water Intake CSV title","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","1102","@sanity @regression invalid user login JsonData - roleuserid+orgadmin@gmail.com- hs@123","chromium","2026-08-27","passed","2026-08-27","","invalidLogin.spec.ts","",""
"","9019","verify Overview csv Data","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","120201","verify create Program","chromium","2026-08-27","broken","2026-08-27","","careProgramtwo.spec.ts","",""
"","8424","verify 90 days of data for Sleep","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","6866","verify physician role have Readonly permission","chromium","2026-08-27","passed","2026-08-27","","physicianrolelimitation.spec.ts","",""
"","5785","Verify tab visibility for OrgAdmin staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","7433","03 - Verify Water Intake CSV contains records","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","11303","verify Weight csv","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","7382","09 - Verify CSV contains Patient","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","1091","@sanity @regression invalid user login JsonData - invalid@gm.com- test@123","chromium","2026-08-27","passed","2026-08-27","","invalidLogin.spec.ts","",""
"","6125","Verify tab visibility for Physician staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","7479","05 - Verify Patient values in Water Intake CSV","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","5401","verify create/import button disable for physician role","chromium","2026-08-27","passed","2026-08-27","","physicianrolelimitation.spec.ts","",""
"","129618","verify 30 days health passport report PDF data","chromium","2026-08-27","broken","2026-08-27","","healthpassport.spec.ts","",""
"","8269","verify 30 days of data for Glucose","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","7445","06 - Verify Date values in Water Intake CSV","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","8729","verify 90 days of data for Nutrition","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","5692","Verify tab visibility for Carecoordinator staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","6903","11 - Verify CSV contains Water ml","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","5265","Verify tab visibility for Dietician staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","7930","verify 90 days of data for Cardiac","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","7792","01 - Download Water Intake CSV and verify header","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","5564","Verify tab visibility for Clinical staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","8101","verify all tabs present","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","6148","Verify tab visibility for techAdmin staff role","chromium","2026-08-27","failed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","7399","04 - Verify Water Intake CSV column count","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","7564","verify 90 days of data for Glucose","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","129652","verify 90 days health passport report PDF data","chromium","2026-08-27","broken","2026-08-27","","healthpassport.spec.ts","",""
"","7796","10 - Verify CSV contains Date","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","5455","Verify tab visibility for Custom staff role","chromium","2026-08-27","passed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","7984","verify Glucose csv for 30 days","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","7305","08 - Verify CSV contains Water Intake","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","5659","verify import Program is not visible","chromium","2026-08-27","passed","2026-08-27","","orgadmin.spec.ts","",""
"","1179","@sanity @regression invalid user login JsonData - 123@gmail.com- test@123","chromium","2026-08-27","passed","2026-08-27","","invalidLogin.spec.ts","",""
"","7356","07 - Verify Water ml values in Water Intake CSV","chromium","2026-08-27","passed","2026-08-27","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","6949","verify create Program is visible","chromium","2026-08-27","passed","2026-08-27","","orgadmin.spec.ts","",""
"","8469","verify Tabs availability on Protocol Page","chromium","2026-08-27","passed","2026-08-27","","careProgramtwo.spec.ts","",""
"","8158","verify Weight csv","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","6034","Verify tab visibility for Marketing staff role","chromium","2026-08-27","failed","2026-08-27","","allstaffrolelogin.spec.ts","",""
"","8478","NavigateOnWorkqueue","chromium","2026-08-27","passed","2026-08-27","","loginpage.spec.ts","",""
"","8076","verify 90 days of data for Water Intake","chromium","2026-08-27","passed","2026-08-27","","healthpassport.spec.ts","",""
"","1124","@sanity @regression invalid user login JsonData - - onlyPass@123","chromium","2026-08-27","passed","2026-08-27","","invalidLogin.spec.ts","",""
