"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7074","06 - Verify Date values in Water Intake CSV","chromium","2026-08-31","passed","2026-08-31","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","8222","verify 90 days of data for Sleep","chromium","2026-08-31","passed","2026-08-31","","healthpassport.spec.ts","",""
"","1168","@sanity @regression invalid user login JsonData - - onlyPass@123","chromium","2026-08-31","passed","2026-08-31","","invalidLogin.spec.ts","",""
"","7966","verify 30 days of data for Glucose","chromium","2026-08-31","passed","2026-08-31","","healthpassport.spec.ts","",""
"","7150","01 - Download Water Intake CSV and verify header","chromium","2026-08-31","passed","2026-08-31","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","5808","Verify tab visibility for Nurse staff role","chromium","2026-08-31","passed","2026-08-31","","allstaffrolelogin.spec.ts","",""
"","11236","verify Weight csv for 30 days","chromium","2026-08-31","passed","2026-08-31","","healthpassport.spec.ts","",""
"","8517","verify Weight csv for 90 days","chromium","2026-08-31","passed","2026-08-31","","healthpassport.spec.ts","",""
"","8941","04 - Verify Water Intake CSV column count","chromium","2026-08-31","passed","2026-08-31","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","6217","Verify tab visibility for OrgAdmin staff role","chromium","2026-08-31","passed","2026-08-31","","allstaffrolelogin.spec.ts","",""
"","8068","05 - Verify Patient values in Water Intake CSV","chromium","2026-08-31","passed","2026-08-31","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","80181","verify create Program","chromium","2026-08-31","broken","2026-08-31","","careProgramtwo.spec.ts","",""
"","14121","02 - Verify Water Intake CSV title","chromium","2026-08-31","passed","2026-08-31","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","5365","Verify tab visibility for Carecoordinator staff role","chromium","2026-08-31","passed","2026-08-31","","allstaffrolelogin.spec.ts","",""
"","5866","verify create/import button disable for physician role","chromium","2026-08-31","passed","2026-08-31","","physicianrolelimitation.spec.ts","",""
"","8405","verify 30 days of data for Blood Pressure","chromium","2026-08-31","passed","2026-08-31","","healthpassport.spec.ts","",""
"","6964","11 - Verify CSV contains Water ml","chromium","2026-08-31","passed","2026-08-31","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","6758","verify create Program is visible","chromium","2026-08-31","passed","2026-08-31","","orgadmin.spec.ts","",""
"","7296","09 - Verify CSV contains Patient","chromium","2026-08-31","passed","2026-08-31","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","6809","03 - Verify Water Intake CSV contains records","chromium","2026-08-31","passed","2026-08-31","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","1296","@sanity @regression invalid user login JsonData - roleuserid+orgadmin@gmail.com- hs@123","chromium","2026-08-31","passed","2026-08-31","","invalidLogin.spec.ts","",""
"","6365","Verify tab visibility for Physician staff role","chromium","2026-08-31","passed","2026-08-31","","allstaffrolelogin.spec.ts","",""
"","7354","08 - Verify CSV contains Water Intake","chromium","2026-08-31","passed","2026-08-31","Water Intake - 90 Days CSV","waterIntakeHealthPassport.spec.ts","",""
"","5507","Verify tab visibility for techAdmin staff role","chromium","2026-08-31","passed","2026-08-31","","allstaffrolelogin.spec.ts","",""
"","44322","verify 90 days health passport report PDF data","chromium","2026-08-31","failed","2026-08-31","","healthpassport.spec.ts","",""
"","7797","verify 90 days of data for Nutrition","chromium","2026-08-31","passed","2026-08-31","","healthpassport.spec.ts","",""
"","8133","verify 90 days of data for Glucose","chromium","2026-08-31","passed","2026-08-31","","healthpassport.spec.ts","",""
"","10541","verify Overview csv Data","chromium","2026-08-31","passed","2026-08-31","","healthpassport.spec.ts","",""
"","9385","NavigateOnWorkqueue","chromium","2026-08-31","passed","2026-08-31","","loginpage.spec.ts","",""
"","7566","verify physician role have Readonly permission","chromium","2026-08-31","passed","2026-08-31","","physicianrolelimitation.spec.ts","",""
"","5549","Verify tab visibility for Custom staff role","chromium","2026-08-31","passed","2026-08-31","","allstaffrolelogin.spec.ts","",""
"","5412","Verify tab visibility for Clinical staff role","chromium","2026-08-31","passed","2026-08-31","","allstaffrolelogin.spec.ts","",""
